"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,-2.89888219798848,0.741522931733631,0.0491189563533685,-0.263253498527368,-2.63275752442342,3.68e-05,5301405,267187.17005869,257813.223305507,0,0,0,0,0,-173.604471072699,375014804
0.00019,0.142857142857143,0.1,-2.892161740637,0.739389067616855,0.0479601774555136,-0.273362733926505,-2.61425773170371,3.68e-05,5301405,267188.101580836,257812.003290239,0,0,0,0,0,-173.62656533794,686698121
0.00019,0.142857142857143,0.1,-3.26859544507593,1.01125551021446,0.446963859145768,0.0413818272269563,-3.29850840533061,3.68e-05,5301405,267187.312689384,257812.498908391,0,0,0,0,0,-184.827179264481,278270504
0.00019,0.142857142857143,0.1,-3.24814088032521,0.939190781851617,0.449104344784307,-0.108473325847521,-3.35635065395547,3.67999999999999e-05,5301405,192186.840085175,32813.8794453287,0,0,0,0,0,-181.543242221234,105637933
0.00019,0.142857142857143,0.1,-3.51824617697748,1.17285186195321,0.664311946923268,0.705776165028749,-4.1940878889598,3.68e-05,5301405,192188.479432798,32813.3797183633,0,0,0,0,0,-189.873753615814,950984833
0.00019,0.142857142857143,0.1,-3.20801864880226,0.885125307755589,0.343090075556381,-0.237341818944856,-3.18326848273807,3.68e-05,5301405,192188.19483404,32812.3431636466,0,0,0,0,0,-179.775509347716,72997143
0.00019,0.142857142857143,0.1,-3.30529096853766,0.904073702135254,0.442305433219884,-0.111244695173959,-3.29109673386898,3.68e-05,5301405,192187.215612774,32813.9564159662,0,0,0,0,0,-181.286386181847,774601236
0.00019,0.142857142857143,0.1,-3.4439657872519,0.948460690994675,0.679567223836922,-0.0529512227584198,-3.29973186361384,3.68e-05,5301405,192187.024477026,32813.4026698234,0,0,0,0,0,-183.435872651824,681985097
0.00019,0.142857142857143,0.1,-18.1708174182577,116.492623435059,0.0763213054531883,-0.44605919937874,-0.852577492584856,3.68000000000001e-05,5301405,42187.4344909888,182813.334484226,0,0,0,0,0,-417.045225308005,621601440
0.00019,0.142857142857143,0.1,-16.9327974016133,105.434504142098,0.185634592178552,0.402991394317892,0.84488927981482,3.68000000000001e-05,5301405,42186.9752780015,182811.802419065,0,0,0,0,0,-395.283882147661,149336621
0.00019,0.142857142857143,0.1,-16.5247206633156,111.351050167555,0.0571400896238763,-0.714570072965368,0.932950959208336,3.68e-05,5301405,42187.3014840278,182812.128570418,0,0,0,0,0,-400.090388333452,677202597
0.00019,0.142857142857143,0.1,-18.011688691561,120.097628459319,0.17555869327855,-0.15662819572271,-0.605663215456366,3.68000000000001e-05,5301405,42189.7655022921,182811.170434297,0,0,0,0,0,-405.743350726223,349054969
0.00019,0.142857142857143,0.1,-17.4540943829394,120.211747823794,0.133938497961647,-0.0154920328357721,0.395735568194036,3.68000000000001e-05,5301405,42188.066170593,182812.248410761,0,0,0,0,0,-402.861546544707,1004648387
0.00019,0.142857142857143,0.1,4.98841753049222,1.86319262588979,0.60018296185377,2.60073001832402,6.68974590665951,3.68e-05,5301405,154686.577576036,70312.3580520305,0,0,0,0,0,-205.107569587175,367756461
0.00019,0.142857142857143,0.1,4.56306274203829,1.84023125569348,0.543252551135423,2.81728229741822,6.29601633975297,3.68e-05,5301405,154686.973629023,70313.4186600302,0,0,0,0,0,-204.329369013056,857510532
